Rk,Player,badcol,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
377,Nerlens Noel,noelne01,C,24,OKC,77,2,1055,5.5,9.4,0.587,0,0,,5.5,9.4,0.587,1.8,2.7,0.684,4.3,6.8,11.1,1.5,2.3,3.3,1.6,5.7,12.9
378,Dirk Nowitzki,nowitdi01,PF,40,DAL,51,20,795,6.1,17,0.359,2.9,9.3,0.312,3.2,7.7,0.415,1.8,2.3,0.78,0.2,6.9,7.2,1.6,0.4,0.8,0.8,3.4,16.9
379,Frank Ntilikina,ntilila01,PG,20,NYK,43,16,904,3.8,11.2,0.337,1.3,4.6,0.287,2.5,6.7,0.371,0.9,1.2,0.767,0.5,3,3.5,4.8,1.2,0.6,2.2,4.1,9.8
380,James Nunnally,nunnaja01,SF,28,TOT,15,0,102,4.2,12,0.353,2.8,8.8,0.32,1.4,3.2,0.444,1.4,1.4,1,0,1.8,1.8,2.5,0.4,0,0.4,3.5,12.7
381,Jusuf Nurkic,nurkiju01,C,24,POR,72,72,1974,7.7,15.1,0.508,0.1,0.5,0.103,7.6,14.5,0.523,5.1,6.7,0.773,4.4,9.2,13.6,4.2,1.3,1.9,3.1,4.6,20.5
382,David Nwaba,nwabada01,SG,26,CLE,51,14,984,4.6,9.6,0.481,0.9,2.7,0.32,3.7,6.8,0.545,2.1,3.1,0.682,1.5,4.5,6,2,1.3,0.6,1.1,3.9,12.2
383,Royce O'Neale,onealro01,SF,25,UTA,82,16,1671,3.5,7.4,0.475,1.5,3.8,0.386,2,3.6,0.569,0.7,0.9,0.762,0.5,5.7,6.1,2.7,1.2,0.5,1.5,3.7,9.2
384,Kyle O'Quinn,oquinky01,C,28,IND,45,3,371,6.7,13.2,0.507,0.1,1.2,0.083,6.6,12,0.548,1.6,2,0.81,2.8,8.7,11.5,5.4,0.9,2.4,3,6.6,15.1
385,Semi Ojeleye,ojelese01,PF,24,BOS,56,3,594,4.1,9.6,0.424,1.7,5.4,0.315,2.4,4.2,0.565,1.5,2.4,0.615,1.5,3.8,5.2,1.4,0.6,0.2,1.2,2.6,11.3
386,Jahlil Okafor,okafoja01,C,23,NOP,59,24,935,8.2,13.9,0.586,0,0.2,0.2,8.1,13.7,0.591,2.3,3.4,0.663,3.2,7.5,10.7,1.5,0.6,1.5,2,3.7,18.6
387,Elie Okobo,okoboel01,PG,21,PHO,53,16,958,4.3,10.9,0.393,1.5,5,0.295,2.8,5.9,0.475,1.4,1.8,0.787,0.5,3.2,3.7,4.8,1.2,0.3,2.6,4.1,11.4
388,Josh Okogie,okogijo01,SG,20,MIN,74,52,1757,4,10.4,0.386,1.2,4.4,0.279,2.8,6,0.464,2.4,3.3,0.728,0.8,3.6,4.5,1.9,1.8,0.7,1.3,3.4,11.7
389,Victor Oladipo,oladivi01,SG,26,IND,36,36,1147,7.8,18.5,0.423,2.3,6.8,0.343,5.5,11.7,0.47,3.2,4.4,0.73,0.7,5.7,6.3,5.8,1.9,0.3,2.6,2.3,21.2
390,Kelly Olynyk,olynyke01,PF,27,MIA,79,36,1812,5.2,11.2,0.463,2.2,6.3,0.354,2.9,4.9,0.604,3,3.7,0.822,1.4,6,7.5,2.8,1.1,0.7,2.3,3.6,15.6
391,Cedi Osman,osmande01,SF,23,CLE,76,75,2444,5.3,12.4,0.427,1.9,5.5,0.348,3.4,6.9,0.489,2.1,2.7,0.779,0.7,4.6,5.3,2.9,0.9,0.2,1.7,2.9,14.6
392,Kelly Oubre Jr.,oubreke01,SF,23,TOT,69,19,1935,7,15.7,0.445,2,6.3,0.32,5,9.4,0.53,3.5,4.5,0.775,1.3,4.7,6,1.6,1.6,1.1,1.9,3.4,19.5
393,Zaza Pachulia,pachuza01,C,34,DET,68,3,878,3.5,7.9,0.44,0,0.2,0,3.5,7.7,0.45,4,5.1,0.782,4.1,6.8,10.9,3.7,1.3,0.7,2.3,6.2,10.9
394,Jabari Parker,parkeja01,PF,23,TOT,64,17,1724,7.7,15.6,0.493,1.3,4.1,0.313,6.4,11.6,0.556,2.7,3.8,0.712,1.6,7.1,8.8,3.2,1,0.6,3.2,3,19.4
395,Tony Parker,parketo01,PG,36,CHO,56,0,1003,7.6,16.6,0.46,0.5,1.8,0.255,7.2,14.8,0.485,3.3,4.5,0.734,0.5,2.5,3,7.4,0.8,0.3,2.7,1.9,19
396,Chandler Parsons,parsoch01,SF,30,MEM,25,3,496,4.9,13.2,0.374,2.1,6.8,0.309,2.8,6.4,0.443,1.6,1.8,0.88,0.3,4.8,5.1,3.1,1.4,0.4,2.3,3.3,13.6
397,Patrick Patterson,pattepa01,PF,29,OKC,63,5,861,3.4,9.2,0.374,1.9,5.7,0.336,1.5,3.4,0.439,0.8,1.3,0.633,1.8,4.4,6.1,1.3,0.7,0.5,0.9,1.9,9.6
398,Justin Patton,pattoju01,C,21,PHI,3,0,21,3.4,12,0.286,0,3.4,0,3.4,8.6,0.4,1.7,3.4,0.5,3.4,6.9,10.3,5.1,3.4,0,0,8.6,8.6
399,Chris Paul,paulch01,PG,33,HOU,58,58,1857,5.9,14,0.419,2.5,6.9,0.358,3.4,7.1,0.479,3.4,3.9,0.862,0.7,4.4,5.1,9.2,2.2,0.3,2.9,2.8,17.6
400,Cameron Payne,payneca01,PG,24,TOT,40,13,712,4.9,11.3,0.43,1.3,4.2,0.298,3.6,7,0.511,1.7,2.1,0.805,0.7,3,3.6,5.4,1.4,0.5,2.3,3.2,12.6
401,Elfrid Payton,paytoel01,PG,24,NOP,42,42,1250,5.2,11.9,0.434,1,3,0.314,4.2,8.8,0.476,1.6,2.1,0.743,1.4,4.9,6.3,9.2,1.3,0.5,3.2,2.3,12.8
402,Gary Payton II,paytoga02,PG,26,WAS,3,0,16,11.3,18,0.625,2.3,4.5,0.5,9,13.5,0.667,0,0,,2.3,2.3,4.5,9,6.8,2.3,2.3,4.5,24.8
403,Theo Pinson,pinsoth01,SG,23,BRK,18,0,211,4.3,12.5,0.342,2,7.8,0.261,2.2,4.6,0.481,3.2,3.8,0.864,0.7,5.5,6.1,3.6,1,0,3.1,2.6,13.8
404,Mason Plumlee,plumlma01,C,28,DEN,82,17,1731,5.4,9.2,0.593,0,0.2,0.2,5.4,9,0.602,2.3,4.1,0.561,3.4,7.5,10.9,5.1,1.4,1.6,2.6,5.2,13.2
405,Miles Plumlee,plumlmi01,C,30,ATL,18,0,173,6.7,10,0.667,0,0,,6.7,10,0.667,3.3,6.2,0.533,3.3,4.8,8.1,3.5,1.2,0.8,2.1,2.9,16.6
406,Jakob Poeltl,poeltja01,C,23,SAS,77,24,1273,5.3,8.2,0.645,0,0,,5.3,8.2,0.645,1.4,2.6,0.533,5,6.6,11.6,2.6,0.8,1.9,1.4,3.5,12
407,Quincy Pondexter,pondequ01,SF,30,SAS,53,0,292,3.6,7.2,0.5,0.7,2.2,0.333,2.8,4.9,0.575,4.2,5.2,0.81,1,4.7,5.7,3,1.4,0.1,1.6,3,12.1
408,Otto Porter,porteot01,SF,25,TOT,56,43,1683,6.4,13.8,0.465,2.2,5.5,0.406,4.2,8.3,0.504,1.7,2.1,0.813,1.2,5.6,6.7,2.6,1.8,0.7,1.4,2.3,16.7
409,Bobby Portis,portibo01,PF,23,TOT,50,28,1299,7.7,17.4,0.444,2.1,5.3,0.393,5.7,12.1,0.467,2.1,2.7,0.794,3,8.1,11.2,2,1,0.6,2.1,4,19.7
410,Dwight Powell,poweldw01,C,27,DAL,77,22,1662,6.3,10.5,0.597,0.8,2.8,0.307,5.4,7.8,0.699,4.2,5.5,0.772,3,5.9,8.9,2.4,1,1.1,1.5,4.4,17.7
411,Norman Powell,powelno01,SG,25,TOR,60,3,1126,6.2,12.8,0.483,2.2,5.4,0.4,4,7.4,0.543,2,2.4,0.827,0.5,3.9,4.4,2.9,1.2,0.4,2.1,3.1,16.5
412,Alex Poythress,poythal01,PF,25,ATL,21,1,305,4.7,9.6,0.494,1.1,2.7,0.391,3.7,6.8,0.534,2.1,3.4,0.621,3.4,5.5,9,2,0.5,1.2,1.5,5.5,12.6
413,Zhou Qi,qizh01,PF,23,HOU,1,0,1,36,36,1,0,0,,36,36,1,0,0,,0,0,0,0,0,0,0,0,72
414,Ivan Rabb,rabbiv01,PF,21,MEM,49,13,721,5.8,10.6,0.547,0.1,0.7,0.2,5.6,9.8,0.574,2.4,3.4,0.71,3.5,6.8,10.3,2.7,0.8,0.7,1.7,4.5,14.2
415,Chasson Randle,randlch01,PG,25,WAS,49,2,743,4.4,10.5,0.419,2.2,5.6,0.4,2.2,4.9,0.441,2.1,3,0.694,0.5,2.2,2.7,4.7,1.2,0.1,2.1,4.4,13.1
416,Julius Randle,randlju01,PF,24,NOP,73,49,2232,9.2,17.6,0.524,1.1,3.1,0.344,8.1,14.4,0.564,5.7,7.9,0.731,2.6,7.6,10.2,3.7,0.8,0.7,3.4,4,25.2
417,J.J. Redick,redicjj01,SG,34,PHI,76,63,2379,6.8,15.5,0.44,3.6,9.2,0.397,3.2,6.4,0.502,3.5,3.9,0.894,0.3,2.5,2.8,3.1,0.5,0.3,1.5,2,20.8
418,Davon Reed,reedda01,SG,23,IND,10,0,47,3.8,9.2,0.417,1.5,3.1,0.5,2.3,6.1,0.375,0,0,,1.5,3.1,4.6,2.3,0.8,0,0.8,2.3,9.2
419,Cameron Reynolds,reynoca01,SG,23,MIN,19,0,259,4.6,10.8,0.423,2.9,7.1,0.412,1.7,3.8,0.444,1.1,1.3,0.889,0.6,3.8,4.3,1.8,0.8,0.3,0.7,3.6,13.2
420,Josh Richardson,richajo01,SG,25,MIA,73,73,2539,6,14.5,0.412,2.3,6.5,0.357,3.7,8,0.458,2.8,3.3,0.861,0.8,3,3.7,4.2,1.1,0.5,1.6,2.8,17.1
